# textflood 3840x2400 step=25 epoch_ms=1785580824692.086 mono_ms=1615431319.360
frame	loop_start_ms	render_ms	blit_ms	sync_ms
508	1615439260.053	12.651	0.001	2.213
509	1615439274.923	17.989	0.004	2.697
510	1615439295.630	14.356	0.001	2.474
511	1615439312.469	14.194	0.004	2.259
512	1615439328.936	13.016	0.000	3.135
513	1615439345.318	19.034	0.003	2.258
514	1615439366.624	12.587	0.001	2.752
515	1615439381.973	13.841	0.001	2.146
516	1615439397.966	12.777	0.001	2.813
517	1615439413.563	14.233	0.001	2.240
518	1615439430.044	12.980	0.000	2.337
519	1615439445.369	15.189	0.001	2.359
520	1615439462.926	13.221	0.001	2.295
521	1615439478.451	14.008	0.001	3.312
522	1615439495.779	12.718	0.001	2.193
523	1615439510.697	13.719	0.001	2.334
524	1615439526.758	13.987	0.001	2.199
525	1615439542.951	13.763	0.001	4.137
526	1615439560.865	20.411	0.004	2.250
527	1615439583.551	14.391	0.004	2.328
528	1615439600.290	12.943	0.001	2.372
529	1615439615.835	12.203	0.001	2.326
530	1615439630.373	12.436	0.001	2.236
531	1615439645.053	12.166	0.001	2.311
532	1615439659.538	12.860	0.001	2.329
533	1615439674.731	12.259	0.001	2.495
534	1615439689.493	12.827	0.004	8.140
535	1615439710.476	13.192	0.003	2.227
536	1615439725.906	12.052	0.001	2.759
537	1615439740.726	12.538	0.001	2.327
538	1615439755.600	13.005	0.004	4.600
539	1615439773.221	14.808	0.002	2.316
540	1615439790.354	13.781	0.004	2.512
541	1615439806.669	14.172	0.001	2.217
542	1615439823.065	15.167	0.004	2.441
543	1615439840.693	13.702	0.001	2.154
544	1615439856.558	13.205	0.001	2.931
545	1615439872.744	13.000	0.001	2.007
546	1615439887.758	12.291	0.001	2.056
547	1615439902.111	12.549	0.001	3.570
548	1615439918.239	12.220	0.000	2.253
549	1615439932.719	12.373	0.000	2.235
550	1615439947.333	12.136	0.000	2.231
551	1615439961.707	12.275	0.001	1.932
552	1615439975.921	12.627	0.003	2.976
553	1615439991.539	11.884	0.001	2.033
554	1615440005.462	11.365	0.000	3.721
555	1615440020.562	11.401	0.002	2.465
556	1615440034.438	10.637	0.001	2.227
557	1615440047.309	10.692	0.001	2.517
558	1615440060.526	10.734	0.001	2.692
559	1615440073.958	10.625	0.000	2.146
560	1615440086.735	10.803	0.000	2.334
561	1615440100.868	11.718	0.001	2.166
562	1615440114.758	11.548	0.001	2.189
563	1615440128.502	12.041	0.001	2.488
564	1615440143.044	11.974	0.001	2.310
565	1615440157.336	11.900	0.001	2.166
566	1615440171.408	13.851	0.001	2.262
567	1615440187.531	16.713	0.003	2.318
568	1615440206.574	13.563	0.002	2.992
569	1615440223.138	15.819	0.003	2.360
570	1615440241.327	14.461	0.003	2.271
571	1615440258.070	14.093	0.001	2.354
572	1615440274.528	13.853	0.001	4.215
573	1615440292.602	17.926	0.004	2.389
574	1615440312.938	13.341	0.003	2.162
575	1615440328.456	14.393	0.003	3.242
576	1615440346.103	13.552	0.001	2.130
577	1615440362.574	14.570	0.001	2.205
578	1615440379.357	12.769	0.001	2.269
579	1615440394.403	14.297	0.001	6.557
580	1615440415.276	15.160	0.003	2.526
581	1615440432.974	14.900	0.004	2.713
582	1615440450.607	13.213	0.002	2.451
583	1615440466.283	13.016	0.001	3.157
584	1615440482.468	12.768	0.001	2.284
585	1615440497.528	15.614	0.005	3.246
586	1615440516.405	11.942	0.001	2.222
587	1615440530.575	13.898	0.001	3.126
588	1615440547.609	12.869	0.003	2.255
589	1615440562.746	14.221	0.004	3.280
590	1615440580.266	11.854	0.001	1.865
591	1615440593.992	13.865	0.004	3.380
592	1615440611.249	11.637	0.002	1.978
593	1615440625.143	12.329	0.004	2.167
594	1615440639.654	16.262	0.004	2.721
595	1615440658.658	11.155	0.000	7.706
596	1615440677.534	14.871	0.001	2.166
597	1615440694.582	12.930	0.004	6.519
